Record_ID,Date,Region,Team,Opening_Backlog,Requests_Received,Total_Workload,Requests_Completed,Closing_Backlog,Incident_Count,High_Critical_Incidents,Average_Completion_Days,SLA_Compliance,Quality_Pass_Rate,Customer_Satisfaction,Staff_Utilisation,Completion_Rate
OPS-100001,2026-01-01,Scotland,Workplace Services,9,55,64,34,30,0,0,4.3,0.789,0.951,3.5,0.705,0.531
OPS-100002,2026-01-01,Scotland,Facilities Response,8,51,59,57,2,0,0,2.1,0.995,0.992,4.4,0.71,0.966
OPS-100003,2026-01-01,Scotland,Estates Support,11,62,73,39,34,0,0,4.3,0.719,0.973,3.4,0.786,0.534
OPS-100004,2026-01-01,Scotland,Workplace Projects,12,35,47,46,1,0,0,1.2,0.972,0.996,4.4,0.777,0.979
OPS-100005,2026-01-01,North East,Workplace Services,12,49,61,44,17,0,0,2.9,0.848,0.967,3.9,0.692,0.721
OPS-100006,2026-01-01,North East,Facilities Response,12,26,38,38,0,0,0,1.4,0.95,1.0,4.8,0.706,1.0
OPS-100007,2026-01-01,North East,Estates Support,12,30,42,17,25,0,0,4.0,0.856,0.981,3.4,0.709,0.405
OPS-100008,2026-01-01,North East,Workplace Projects,11,27,38,28,10,0,0,2.2,0.928,0.979,4.5,0.774,0.737
OPS-100009,2026-01-01,North West,Workplace Services,9,42,51,36,15,0,0,2.6,0.86,1.0,4.1,0.779,0.706
OPS-100010,2026-01-01,North West,Facilities Response,6,46,52,27,25,0,0,3.8,0.814,1.0,3.6,0.783,0.519
OPS-100011,2026-01-01,North West,Estates Support,5,44,49,17,32,1,0,3.9,0.725,0.97,3.1,0.667,0.347
OPS-100012,2026-01-01,North West,Workplace Projects,14,36,50,47,3,0,0,2.1,0.957,0.964,4.3,0.723,0.94
OPS-100013,2026-01-01,Midlands,Workplace Services,7,27,34,34,0,0,0,1.9,0.979,0.956,4.8,0.814,1.0
OPS-100014,2026-01-01,Midlands,Facilities Response,9,24,33,32,1,0,0,1.8,0.982,1.0,4.6,0.788,0.97
OPS-100015,2026-01-01,Midlands,Estates Support,9,36,45,30,15,0,0,2.7,0.939,0.972,4.2,0.788,0.667
OPS-100016,2026-01-01, Scotland ,Workplace Projects,3,37,40,40,0,1,0,1.3,0.924,0.996,4.5,0.72,1.0
OPS-100017,2026-01-01,South West,Workplace Services,14,31,45,26,19,0,0,3.0,0.883,1.0,4.0,0.703,0.578
OPS-100018,2026-01-01,South West,Facilities Response,6,38,44,44,0,0,0,1.8,0.951,0.984,4.6,0.689,1.0
OPS-100019,2026-01-01,South West,Estates Support,4,42,46,44,2,0,0,1.9,0.997,0.967,4.5,0.649,0.957
OPS-100020,2026-01-01,South West,Workplace Projects,5,20,25,25,0,0,0,1.5,0.974,0.991,4.6,0.673,1.0
OPS-100021,2026-01-01,South East,Workplace Services,5,52,57,57,0,0,0,1.2,0.985,0.996,4.5,0.669,1.0
OPS-100022,2026-01-01,South East,Facilities Response,13,47,60,22,38,0,0,4.2,0.715,0.969,3.0,0.751,0.367
OPS-100023,2026-01-01,South East,Estates Support,8,25,33,33,0,0,0,1.6,0.979,0.998,5.0,0.695,1.0
OPS-100024,2026-01-01,South East,Workplace Projects,6,38,44,26,18,0,0,3.1,0.854,1.0,4.0,0.719,0.591
OPS-100025,2026-01-01,Wales,Workplace Services,14,42,56,26,30,0,0,4.4,0.756,0.955,4.1,0.771,0.464
OPS-100026,2026-01-01,Wales,Facilities Response,13,28,41,29,12,0,0,2.3,0.879,0.995,4.4,0.706,0.707
OPS-100027,2026-01-01,Wales,Estates Support,8,43,51,26,25,0,0,3.7,0.826,0.969,3.9,0.755,0.51
OPS-100028,2026-01-01,Wales,Workplace Projects,8,20,28,28,0,0,0,1.7,0.976,0.984,4.5,0.74,1.0
OPS-100029,2026-01-02,Scotland,Workplace Services,30,42,72,36,36,0,0,4.2,0.768,1.0,3.0,0.705,0.5
OPS-100030,2026-01-02,Scotland,Facilities Response,2,15,17,17,0,0,0,1.3,0.954,0.985,4.3,0.71,1.0
OPS-100031,2026-01-02,Scotland,Estates Support,34,43,77,40,37,0,0,4.4,0.784,1.0,3.5,0.786,0.519
OPS-100032,2026-01-02,Scotland,Workplace Projects,1,24,25,25,0,0,0,1.3,1.0,0.986,4.5,0.777,1.0
OPS-100033,2026-01-02,North East,Workplace Services,17,51,68,45,23,0,0,2.9,0.839,0.978,3.8,0.692,0.662
OPS-100034,2026-01-02,North East,Facilities Response,0,53,53,53,0,0,0,1.8,1.0,1.0,4.0,0.706,1.0
OPS-100035,2026-01-02,North East,Estates Support,25,30,55,18,37,0,0,4.3,0.779,0.982,3.2,0.709,0.327
OPS-100036,2026-01-02,North East,Workplace Projects,10,30,40,28,12,0,0,2.1,0.897,0.96,3.8,0.774,0.7
OPS-100037,2026-01-02,North West,Workplace Services,15,32,47,36,11,0,0,2.7,0.916,0.978,3.9,0.779,0.766
OPS-100038,2026-01-02,North West,Facilities Response,25,45,70,22,48,0,0,5.0,0.698,0.982,2.9,0.783,0.314
OPS-100039,2026-01-02,North West,Estates Support,32,36,68,19,49,0,0,5.2,0.662,1.0,2.8,0.667,0.279
OPS-100040,2026-01-02,North West,Workplace Projects,3,32,35,35,0,0,0,1.4,0.979,0.992,4.8,0.723,1.0
OPS-100041,2026-01-02,Midlands,Workplace Services,0,24,24,24,0,0,0,1.2,0.927,1.0,4.4,0.814,1.0
OPS-100042,2026-01-02,Midlands,Facilities Response,1,50,51,33,18,0,0,3.0,0.852,0.975,3.9,0.788,0.647
OPS-100043,2026-01-02,Midlands,Estates Support,15,31,46,38,8,0,0,2.3,0.941,1.0,4.0,0.788,0.826
OPS-100044,2026-01-02,Midlands,Workplace Projects,0,25,25,25,0,0,0,2.0,0.948,0.986,4.6,0.72,1.0
OPS-100045,2026-01-02,South West,Workplace Services,19,60,79,29,50,0,0,6.0,0.618,0.975,2.9,0.703,0.367
OPS-100046,2026-01-02,South West,Facilities Response,0,24,24,24,0,1,0,1.8,0.95,0.991,4.3,0.689,1.0
OPS-100047,2026-01-02,South West,Estates Support,2,36,38,38,0,0,0,1.1,0.946,0.981,4.6,0.649,1.0
OPS-100048,2026-01-02,South West,Workplace Projects,0,25,25,25,0,0,0,1.7,1.0,0.983,4.5,0.673,1.0
OPS-100049,2026-01-02,South East,Workplace Services,0,42,42,42,0,0,0,1.5,0.968,1.0,4.6,0.669,1.0
OPS-100050,2026-01-02,South East,Facilities Response,38,56,94,21,73,0,0,6.8,0.6,0.978,2.5,0.751,0.223
OPS-100051,2026-01-02,South East,Estates Support,0,63,63,50,13,1,0,2.8,0.851,0.971,3.9,0.695,0.794
OPS-100052,2026-01-02,South East,Workplace Projects,18,26,44,27,17,1,0,2.3,0.84,0.957,3.9,0.719,0.614
OPS-100053,2026-01-02,Wales,Workplace Services,30,45,75,29,46,0,0,4.7,0.699,0.997,2.6,0.771,0.387
OPS-100054,2026-01-02,Wales,Facilities Response,12,41,53,27,26,0,0,3.2,0.789,0.987,3.4,0.706,0.509
OPS-100055,2026-01-02,Wales,Estates Support,25,41,66,26,40,0,0,4.7,0.72,0.98,3.4,0.755,0.394
OPS-100056,2026-01-02,Wales,Workplace Projects,0,13,13,13,0,0,0,1.5,0.968,0.973,4.5,0.74,1.0
OPS-100057,2026-01-04,Scotland,Workplace Services,36,29,65,34,31,0,0,3.9,0.825,0.974,3.3,0.705,0.523
OPS-100058,2026-01-04,Scotland,Facilities Response,0,28,28,28,0,0,0,1.1,1.0,1.0,4.8,0.71,1.0
OPS-100059,2026-01-04,Scotland,Estates Support,37,43,80,35,45,0,0,5.5,0.72,1.0,3.1,0.786,0.438
OPS-100060,2026-01-04,Scotland,Workplace Projects,0,43,43,37,6,0,0,1.9,0.933,0.991,4.0,0.777,0.86
OPS-100061,2026-01-04,North East,Workplace Services,23,38,61,50,11,0,0,2.6,0.893,0.991,4.1,0.692,0.82
OPS-100062,2026-01-04,North East,Facilities Response,0,39,39,39,0,0,0,1.0,0.936,0.996,4.6,0.706,1.0
OPS-100063,2026-01-04,North East,Estates Support,37,47,84,18,66,0,0,6.0,0.6,0.974,2.5,0.709,0.214
OPS-100064,2026-01-04,North East,Workplace Projects,12,30,42,26,16,1,1,2.2,0.764,0.955,3.9,0.774,0.619
OPS-100065,2026-01-04,North West,Workplace Services,11,45,56,33,23,0,0,3.5,0.827,0.975,3.6,0.779,0.589
OPS-100066,2026-01-04,North West,Facilities Response,48,38,86,28,58,0,0,6.4,0.629,0.986,2.6,0.783,0.326
OPS-100067,2026-01-04,North West,Estates Support,49,36,85,16,69,0,0,6.9,0.6,0.989,2.5,0.667,0.188
OPS-100068,2026-01-04,North West,Workplace Projects,0,30,30,30,0,0,0,1.1,0.985,1.0,4.2,0.723,1.0
OPS-100069,2026-01-04,Midlands,Workplace Services,0,54,54,42,12,0,0,2.8,0.909,0.982,4.4,0.814,0.778
OPS-100070,2026-01-04,Midlands,Facilities Response,18,52,70,26,44,1,0,5.1,0.651,0.985,2.9,0.788,0.371
OPS-100071,2026-01-04,Midlands,Estates Support,8,26,34,34,0,0,0,1.5,0.964,0.994,4.7,0.788,1.0
OPS-100072,2026-01-04,Midlands,Workplace Projects,0,21,21,21,0,0,0,1.4,0.944,1.0,4.5,0.72,1.0
OPS-100073,2026-01-04,South West,Workplace Services,50,29,79,23,56,1,0,5.8,0.636,0.969,2.7,0.703,0.291
OPS-100074,2026-01-04,South West,Facilities Response,0,26,26,26,0,0,0,1.9,0.997,0.999,4.7,0.689,1.0
OPS-100075,2026-01-04,South West,Estates Support,0,50,50,50,0,0,0,1.6,0.966,1.0,4.1,0.649,1.0
OPS-100076,2026-01-04,South West,Workplace Projects,0,45,45,45,0,0,0,1.4,1.0,0.97,4.2,0.673,1.0
OPS-100077,2026-01-04,South East,Workplace Services,0,52,52,52,0,0,0,1.1,0.971,0.993,4.6,0.669,1.0
OPS-100078,2026-01-04,South East,Facilities Response,73,42,115,18,97,0,0,8.0,0.6,0.996,2.5,0.751,0.157
OPS-100079,2026-01-04,South East,Estates Support,13,55,68,51,17,0,0,2.8,0.868,0.995,3.8,0.695,0.75
OPS-100080,2026-01-04,South East,Workplace Projects,17,40,57,21,36,0,0,4.1,0.748,1.0,3.2,0.719,0.368
OPS-100081,2026-01-04,Wales,Workplace Services,46,43,89,23,66,0,0,6.2,0.6,1.0,2.8,0.771,0.258
OPS-100082,2026-01-04,Wales,Facilities Response,26,26,52,31,21,0,0,2.8,0.849,0.971,4.1,0.706,0.596
OPS-100083,2026-01-04,Wales,Estates Support,40,29,69,34,35,0,0,4.5,0.768,1.0,3.4,0.755,0.493
OPS-100084,2026-01-04,Wales,Workplace Projects,0,11,11,11,0,0,0,1.0,0.939,0.979,4.5,0.74,1.0
OPS-100085,2026-01-05,Scotland,Workplace Services,31,36,67,33,34,0,0,3.7,0.759,0.996,3.4,0.705,0.493
OPS-100086,2026-01-05,Scotland,Facilities Response,0,53,53,53,0,0,0,1.5,0.949,0.987,4.5,0.71,1.0
OPS-100087,2026-01-05,Scotland,Estates Support,45,47,92,41,51,0,0,5.3,0.627,0.988,2.9,0.786,0.446
OPS-100088,2026-01-05,Scotland,Workplace Projects,6,32,38,38,0,1,0,2.0,0.932,0.962,4.7,0.777,1.0
OPS-100089,2026-01-05,North East,Workplace Services,11,42,53,38,15,0,0,2.5,0.88,0.978,4.1,0.692,0.717
OPS-100090,2026-01-05,North East,Facilities Response,0,43,43,43,0,0,0,1.6,1.0,0.989,4.8,0.706,1.0
OPS-100091,2026-01-05,North East,Estates Support,66,68,134,20,114,0,0,8.0,0.6,0.978,2.5,0.709,0.149
OPS-100092,2026-01-05,North East,Workplace Projects,16,22,38,31,7,0,0,2.5,0.921,1.0,4.1,0.774,0.816
OPS-100093,2026-01-05,North West,Workplace Services,23,49,72,36,36,0,0,4.9,0.78,0.974,3.1,0.779,0.5
OPS-100094,2026-01-05,North West,Facilities Response,58,40,98,28,70,0,0,7.1,0.6,0.979,2.5,0.783,0.286
OPS-100095,2026-01-05,North West,Estates Support,69,54,123,19,104,0,0,8.0,0.6,0.981,2.5,0.667,0.154
OPS-100096,2026-01-05,North West,Workplace Projects,0,24,24,24,0,0,0,1.7,0.99,0.995,4.4,0.723,1.0
OPS-100097,2026-01-05,Midlands,Workplace Services,12,35,47,47,0,0,0,1.3,0.953,0.999,4.6,0.814,1.0
OPS-100098,2026-01-05,Midlands,Facilities Response,44,37,81,34,47,0,0,5.6,0.688,0.988,3.1,0.788,0.42
OPS-100099,2026-01-05,Midlands,Estates Support,0,40,40,35,5,0,0,1.8,0.941,0.976,4.4,0.788,0.875
OPS-100100,2026-01-05,Midlands,Workplace Projects,0,32,32,32,0,0,0,1.3,0.944,0.975,5.0,0.72,1.0
OPS-100101,2026-01-05,South West,Workplace Services,56,34,90,28,62,0,0,6.6,0.61,0.966,2.5,0.703,0.311
OPS-100102,2026-01-05,South West,Facilities Response,0,55,55,46,9,1,0,2.3,0.922,0.998,4.2,0.689,0.836
OPS-100103,2026-01-05,South West,Estates Support,0,48,48,48,0,0,0,1.2,0.951,0.996,4.6,0.649,1.0
OPS-100104,2026-01-05,South West,Workplace Projects,0,30,30,30,0,1,0,1.1,0.946,0.975,4.4,0.673,1.0
OPS-100105,2026-01-05,South East,Workplace Services,0,51,51,50,1,0,0,1.5,0.967,0.989,4.6,0.669,0.98
OPS-100106,2026-01-05,South East,Facilities Response,97,50,147,20,127,1,0,8.0,0.6,0.996,2.5,0.751,0.136
OPS-100107,2026-01-05,South East,Estates Support,17,49,66,44,22,0,0,3.3,0.795,1.0,3.7,0.695,0.667
OPS-100108,2026-01-05,South East,Workplace Projects,36,35,71,21,50,1,0,5.4,0.666,0.983,2.7,0.719,0.296
OPS-100109,2026-01-05,Wales,Workplace Services,66,31,97,24,73,0,0,7.1,0.6,1.0,2.5,0.771,0.247
OPS-100110,2026-01-05,Wales,Facilities Response,21,48,69,25,44,0,0,5.1,0.731,0.985,3.2,0.706,0.362
OPS-100111,2026-01-05,Wales,Estates Support,35,62,97,27,70,0,0,6.9,0.6,1.0,2.5,0.755,0.278
OPS-100112,2026-01-05,Wales,Workplace Projects,0,24,24,24,0,0,0,1.8,0.961,1.0,4.3,0.74,1.0
OPS-100113,2026-01-06,Scotland,Workplace Services,34,41,75,40,35,0,0,4.6,0.787,0.99,3.3,0.705,0.533
OPS-100114,2026-01-06,Scotland,Facilities Response,0,44,44,44,0,0,0,1.8,0.963,0.968,4.8,0.71,1.0
OPS-100115,2026-01-06,Scotland,Estates Support,51,31,82,31,51,0,0,5.7,0.693,0.944,2.7,0.786,0.378
OPS-100116,2026-01-06,Scotland,Workplace Projects,0,32,32,32,0,0,0,1.4,0.955,0.986,4.6,0.777,1.0
OPS-100117,2026-01-06,North East,Workplace Services,15,30,45,45,0,0,0,0.8,0.932,0.974,4.6,0.692,1.0
OPS-100118,2026-01-06,North East,Facilities Response,0,37,37,37,0,0,0,1.0,0.937,0.985,4.6,0.706,1.0
OPS-100119,2026-01-06,North East,Estates Support,114,42,156,21,135,0,0,8.0,0.6,0.959,2.5,0.709,0.135
OPS-100120,2026-01-06,North East,Workplace Projects,7,30,37,28,9,0,0,2.5,0.862,0.991,4.1,0.774,0.757
OPS-100121,2026-01-06,North West,Facilities  Response,36,37,73,32,41,0,0,5.0,0.725,0.997,3.1,0.779,0.438
OPS-100122,2026-01-06,North West,Facilities Response,70,43,113,23,90,0,0,8.0,0.6,1.0,2.5,0.783,0.204
OPS-100123,2026-01-06,North West,Estates Support,104,49,153,20,133,1,0,8.0,0.6,0.988,2.5,0.667,0.131
OPS-100124,2026-01-06,North West,Workplace Projects,0,28,28,28,0,0,0,1.4,0.967,0.999,4.5,0.723,1.0
OPS-100125,2026-01-06,Midlands,Workplace Services,0,45,45,43,2,0,0,1.8,0.945,0.962,4.5,0.814,0.956
OPS-100126,2026-01-06,Midlands,Facilities Response,47,42,89,32,57,0,0,6.0,0.626,0.995,2.6,0.788,0.36
OPS-100127,2026-01-06,Midlands,Estates Support,5,42,47,37,10,0,0,2.5,0.922,0.971,4.2,0.788,0.787
OPS-100128,2026-01-06,Midlands,Workplace Projects,0,21,21,21,0,1,1,2.0,0.866,0.987,4.4,0.72,1.0
OPS-100129,2026-01-06,South West,Workplace Services,62,50,112,30,82,0,0,8.0,0.6,0.99,2.5,0.703,0.268
OPS-100130,2026-01-06,South West,Facilities Response,9,14,23,23,0,0,0,1.2,0.953,0.967,4.5,0.689,1.0
OPS-100131,2026-01-06,South West,Estates Support,0,44,44,43,1,0,0,1.5,0.963,0.975,4.5,0.649,0.977
OPS-100132,2026-01-06,South West,Workplace Projects,0,28,28,28,0,0,0,1.5,0.96,0.956,4.5,0.673,1.0
OPS-100133,2026-01-06,South East,Workplace Services,1,74,75,50,25,0,0,3.6,0.823,0.984,3.5,0.669,0.667
OPS-100134,2026-01-06,South East,Facilities Response,127,40,167,20,147,0,0,8.0,0.6,0.973,2.5,0.751,0.12
OPS-100135,2026-01-06,South East,Estates Support,22,63,85,50,35,0,0,4.0,0.774,0.987,3.3,0.695,0.588
OPS-100136,2026-01-06,South East,Workplace Projects,50,22,72,27,45,0,0,5.1,0.724,0.973,3.0,0.719,0.375
OPS-100137,2026-01-06,Wales,Workplace Services,73,51,124,27,97,0,0,8.0,0.6,0.988,2.5,0.771,0.218
OPS-100138,2026-01-06,Wales,Facilities Response,44,55,99,25,74,0,0,7.4,0.6,0.998,2.5,0.706,0.253
OPS-100139,2026-01-06,Wales,Estates Support,70,42,112,27,85,0,0,8.0,0.6,0.99,2.5,0.755,0.241
OPS-100140,2026-01-06,Wales,Workplace Projects,0,28,28,28,0,0,0,1.1,0.94,1.0,4.4,0.74,1.0
OPS-100141,2026-01-07,Scotland,Workplace Services,35,51,86,41,45,0,0,5.0,0.701,0.991,2.9,0.705,0.477
OPS-100142,2026-01-07,Scotland,Facilities Response,0,59,59,59,0,0,0,1.1,0.911,0.975,4.7,0.71,1.0
OPS-100143,2026-01-07,Scotland,Estates Support,51,50,101,41,60,0,0,6.0,0.614,0.988,2.5,0.786,0.406
OPS-100144,2026-01-07,Scotland,Workplace Projects,0,34,34,34,0,0,0,1.7,0.975,1.0,4.6,0.777,1.0
OPS-100145,2026-01-07,North East,Workplace Services,0,12,12,12,0,0,0,1.4,1.0,0.983,4.5,0.692,1.0
