Staff_Record_ID,Month,Region,Team,Headcount,Working_Days,Available_Hours,Absence_Hours,Training_Hours,Productive_Hours,Staff_Utilisation
STAFF-2001,2026-01-01,Scotland,Workplace Services,14.0,22,2279.2,220.1,89.5,1606.8,0.705
STAFF-2002,2026-02-01,Scotland,Workplace Services,14.0,20,2072.0,84.8,25.5,1684.3,0.813
STAFF-2003,2026-03-01,Scotland,Workplace Services,14.0,22,2279.2,91.2,82.1,1535.3,0.674
STAFF-2004,2026-04-01,Scotland,Workplace Services,14.0,22,2279.2,218.1,22.9,1791.1,0.786
STAFF-2005,2026-05-01,Scotland,Workplace Services,13.0,21,2020.2,103.6,62.6,1463.0,0.724
STAFF-2006,2026-06-01,Scotland,Workplace Services,13.0,22,2116.4,141.2,55.0,1396.9,0.66
STAFF-2007,2026-01-01,Scotland,Facilities Response,19.0,22,3093.2,175.6,152.6,2197.3,0.71
STAFF-2008,2026-02-01,Scotland,Facilities Response,20.0,20,2960.0,214.7,49.8,1968.8,0.665
STAFF-2009,2026-03-01,Scotland,Facilities Response,19.0,22,3093.2,296.8,100.6,2107.2,0.681
STAFF-2010,2026-04-01,Scotland,Facilities Response,19.0,22,3093.2,113.9,115.6,2263.5,0.732
STAFF-2011,2026-05-01,Scotland ,Facilities Response,19.0,21,2952.6,190.9,33.6,2361.1,0.8
STAFF-2012,2026-06-01,Scotland,Facilities Response,19.0,22,3093.2,132.3,124.4,2235.2,0.723
STAFF-2013,2026-01-01,Scotland,Estates Support,13.0,22,2116.4,147.6,23.8,1662.5,0.786
STAFF-2014,2026-02-01,Scotland,Estates Support,13.0,20,1924.0,184.3,88.1,1347.2,0.7
STAFF-2015,2026-03-01,Scotland,Estates Support,13.0,22,2116.4,70.2,48.7,1562.4,0.738
STAFF-2016,2026-04-01,Scotland,Estates Support,13.0,22,2116.4,143.4,70.8,1663.4,0.786
STAFF-2017,2026-05-01,Scotland,Estates Support,13.0,21,2020.2,137.4,31.6,1570.5,0.777
STAFF-2018,2026-06-01,Scotland,Estates Support,12.0,22,1953.6,60.7,52.6,1441.3,0.738
STAFF-2019,2026-01-01,Scotland,Workplace Projects,15.0,22,2442.0,107.3,93.9,1896.7,0.777
STAFF-2020,2026-02-01,Scotland,Workplace Projects,15.0,20,2220.0,78.1,54.0,1542.0,0.695
STAFF-2021,2026-03-01,Scotland,Workplace Projects,14.0,22,2279.2,167.8,53.0,1503.0,0.659
STAFF-2022,2026-04-01,Scotland,Workplace Projects,16.0,22,2604.8,211.2,92.5,1983.4,0.761
STAFF-2023,2026-05-01,Scotland,Workplace Projects,14.0,21,2175.6,123.6,106.3,1665.2,0.765
STAFF-2024,2026-06-01,Scotland,Workplace Projects,16.0,22,2604.8,180.5,106.4,1852.0,0.711
STAFF-2025,2026-01-01,North East,Workplace Services,16.0,22,2604.8,82.8,37.3,1801.5,0.692
