Incident_ID,Date,Region,Team,Incident_Type,Severity,Status,Response_Time_Hours,Resolution_Time_Hours,Lesson_or_Action
INC-00001,2026-04-22,North East,Estates Support,Process failure,Low,Closed,0.6,10.0,Documentation updated
INC-00002,2026-02-05,Wales,Facilities Response,Data quality issue,Low,Closed,7.4,28.8,Process updated
INC-00003,2026-04-04,North East,Estates Support,Supplier delay,High,Closed,8.1,18.2,No further action
INC-00004,2026-05-13,North East,Facilities Response,Data quality issue,Medium,Closed,7.2,20.8,Process updated
INC-00005,2026-03-31,South East,Facilities Response,Staffing shortage,Medium,Open,2.4,18.6,
INC-00006,2026-05-14,North West,Facilities Response,Supplier delay,Medium,Open,1.6,22.4,
INC-00007,2026-03-25,North East,Workplace Services,System outage,Low,Closed,2.6,14.3,Supplier action
INC-00008,2026-04-04,Scotland,Workplace Services,Data quality issue,High,Closed,2.0,42.2,Process updated
INC-00009,2026-06-11,North East,Estates Support,Health & safety issue, high ,Open,16.5,21.1,
INC-00010,2026-04-15,South East,Workplace Projects,Building issue,Low,In Progress,6.2,20.0,
INC-00011,2026-06-03,Wales,Workplace Services,System outage,High,Closed,15.3,33.0,Supplier action
INC-00012,2026-05-05,North West,Estates Support,System outage,Low,Closed,1.9,8.2,Training required
INC-00013,2026-02-22,Wales,Estates Support,Process failure,Medium,Closed,5.4,12.7,No further action
INC-00014,2026-01-15,South East,Workplace Services,Customer escalation,Medium,Closed,8.3,11.3,Process updated
INC-00015,2026-06-04,South East,Facilities Response,Supplier delay,Low,Closed,2.7,20.4,Documentation updated
INC-00016,2026-06-08,North West,Workplace Services,Health & safety issue,Low,In Progress,3.1,11.5,
INC-00017,2026-03-09,South East,Facilities Response,Staffing shortage,Low,Closed,3.3,19.2,Supplier action
INC-00018,2026-03-10,South East,Facilities Response,Process failure,High,Closed,25.9,31.0,Documentation updated
INC-00019,2026-04-14,Midlands,Workplace Services,Health & safety issue,Low,Open,3.5,4.9,
INC-00020,2026-03-09,South East,Workplace Services,Supplier delay,Medium,Closed,4.8,21.6,Supplier action
INC-00021,2026-01-29,Scotland,Workplace Services,Customer escalation,High,Closed,1.9,130.1,No further action
INC-00022,2026-02-26,North West,Facilities Response,Health & safety issue,Medium,In Progress,2.9,27.4,
INC-00023,2026-06-29,South East,Facilities Response,Customer escalation,Low,Open,3.0,34.8,
INC-00024,2026-05-10,Midlands,Estates Support,System outage,Medium,Closed,0.7,44.6,Process updated
